info_set_raw,cards_cluster,betting_stage,actions_history,num_previous_actions,last_action,call_probability,fold_probability,raise_probability
"{""cards_cluster"":7,""history"":[{""pre_flop"":[""raise""]}]}",7,pre_flop,{'pre_flop': ['raise']},1,raise,0.9849893783317969,0.01501062166820312,0.0
"{""cards_cluster"":7,""history"":[{""pre_flop"":[""raise"",""call""]}]}",7,pre_flop,"{'pre_flop': ['raise', 'call']}",2,call,0.0,0.0,1.0
"{""cards_cluster"":7,""history"":[{""pre_flop"":[""call"",""raise""]}]}",7,pre_flop,"{'pre_flop': ['call', 'raise']}",2,raise,0.019464589403088806,0.0,0.9805354105969112
"{""cards_cluster"":7,""history"":[{""pre_flop"":[""raise"",""raise""]}]}",7,pre_flop,"{'pre_flop': ['raise', 'raise']}",2,raise,0.746621384568336,0.06929297843998497,0.18408563699167904
"{""cards_cluster"":7,""history"":[{""pre_flop"":[""call"",""call""]}]}",7,pre_flop,"{'pre_flop': ['call', 'call']}",2,call,1.0,0.0,0.0
"{""cards_cluster"":7,""history"":[{""pre_flop"":[""call"",""raise"",""raise""]}]}",7,pre_flop,"{'pre_flop': ['call', 'raise', 'raise']}",3,raise,0.06608879066157869,0.0,0.9339112093384213
"{""cards_cluster"":7,""history"":[{""pre_flop"":[""raise"",""raise"",""raise""]}]}",7,pre_flop,"{'pre_flop': ['raise', 'raise', 'raise']}",3,raise,1.0,0.0,0.0
"{""cards_cluster"":7,""history"":[{""pre_flop"":[""call"",""raise"",""call""]}]}",7,pre_flop,"{'pre_flop': ['call', 'raise', 'call']}",3,call,0.2857803011679035,0.024793047362415926,0.6894266514696805
"{""cards_cluster"":7,""history"":[{""pre_flop"":[""raise"",""raise"",""call""]}]}",7,pre_flop,"{'pre_flop': ['raise', 'raise', 'call']}",3,call,0.5683938157846347,0.0,0.4316061842153654
"{""cards_cluster"":7,""history"":[{""pre_flop"":[""call"",""raise"",""raise"",""call""]}]}",7,pre_flop,"{'pre_flop': ['call', 'raise', 'raise', 'call']}",4,call,1.0,0.0,0.0
"{""cards_cluster"":7,""history"":[{""pre_flop"":[""call"",""raise"",""raise"",""raise""]}]}",7,pre_flop,"{'pre_flop': ['call', 'raise', 'raise', 'raise']}",4,raise,1.0,0.0,0.0
"{""cards_cluster"":7,""history"":[{""pre_flop"":[""call"",""raise"",""raise"",""raise"",""call""]}]}",7,pre_flop,"{'pre_flop': ['call', 'raise', 'raise', 'raise', 'call']}",5,call,0.14047210580640251,0.0,0.8595278941935974
"{""cards_cluster"":8,""history"":[]}",8,pre_flop,{},0,none,0.6496223886145039,0.21787049298829095,0.1325071183972052
"{""cards_cluster"":8,""history"":[{""pre_flop"":[""call""]}]}",8,pre_flop,{'pre_flop': ['call']},1,call,0.1694240730761117,0.0,0.8305759269238882
"{""cards_cluster"":8,""history"":[{""pre_flop"":[""raise""]}]}",8,pre_flop,{'pre_flop': ['raise']},1,raise,0.9156445406445407,0.0,0.08435545935545935
"{""cards_cluster"":8,""history"":[{""pre_flop"":[""call"",""raise""]}]}",8,pre_flop,"{'pre_flop': ['call', 'raise']}",2,raise,0.937214585928243,0.06278541407175692,0.0
"{""cards_cluster"":8,""history"":[{""pre_flop"":[""raise"",""raise""]}]}",8,pre_flop,"{'pre_flop': ['raise', 'raise']}",2,raise,0.2180722432318639,0.0,0.7819277567681362
"{""cards_cluster"":8,""history"":[{""pre_flop"":[""raise"",""call""]}]}",8,pre_flop,"{'pre_flop': ['raise', 'call']}",2,call,0.04591800054382724,0.0,0.9540819994561727
"{""cards_cluster"":8,""history"":[{""pre_flop"":[""call"",""call""]}]}",8,pre_flop,"{'pre_flop': ['call', 'call']}",2,call,0.9467209564238067,0.053279043576193265,0.0
"{""cards_cluster"":8,""history"":[{""pre_flop"":[""raise"",""raise"",""raise""]}]}",8,pre_flop,"{'pre_flop': ['raise', 'raise', 'raise']}",3,raise,1.0,0.0,0.0
"{""cards_cluster"":8,""history"":[{""pre_flop"":[""call"",""raise"",""raise""]}]}",8,pre_flop,"{'pre_flop': ['call', 'raise', 'raise']}",3,raise,0.9123965691364537,0.0,0.08760343086354641
"{""cards_cluster"":8,""history"":[{""pre_flop"":[""call"",""raise"",""call""]}]}",8,pre_flop,"{'pre_flop': ['call', 'raise', 'call']}",3,call,0.0,0.0,1.0
"{""cards_cluster"":8,""history"":[{""pre_flop"":[""raise"",""raise"",""call""]}]}",8,pre_flop,"{'pre_flop': ['raise', 'raise', 'call']}",3,call,0.8701422884629991,0.0,0.12985771153700087
"{""cards_cluster"":8,""history"":[{""pre_flop"":[""call"",""raise"",""raise"",""raise""]}]}",8,pre_flop,"{'pre_flop': ['call', 'raise', 'raise', 'raise']}",4,raise,1.0,0.0,0.0
"{""cards_cluster"":8,""history"":[{""pre_flop"":[""raise"",""raise"",""raise"",""call""]}]}",8,pre_flop,"{'pre_flop': ['raise', 'raise', 'raise', 'call']}",4,call,0.7511217861283735,0.0,0.24887821387162645
"{""cards_cluster"":8,""history"":[{""pre_flop"":[""call"",""raise"",""raise"",""call""]}]}",8,pre_flop,"{'pre_flop': ['call', 'raise', 'raise', 'call']}",4,call,0.2980645161290322,0.0,0.7019354838709678
"{""cards_cluster"":8,""history"":[{""pre_flop"":[""call"",""raise"",""raise"",""raise"",""call""]}]}",8,pre_flop,"{'pre_flop': ['call', 'raise', 'raise', 'raise', 'call']}",5,call,0.21634939475354661,0.0,0.7836506052464535
"{""cards_cluster"":9,""history"":[]}",9,pre_flop,{},0,none,0.7043675931809624,0.2836092905077464,0.012023116311291134
"{""cards_cluster"":9,""history"":[{""pre_flop"":[""raise""]}]}",9,pre_flop,{'pre_flop': ['raise']},1,raise,0.8965005599104143,0.10349944008958567,0.0
"{""cards_cluster"":9,""history"":[{""pre_flop"":[""call""]}]}",9,pre_flop,{'pre_flop': ['call']},1,call,0.7453213437319456,0.0,0.2546786562680544
"{""cards_cluster"":9,""history"":[{""pre_flop"":[""raise"",""call""]}]}",9,pre_flop,"{'pre_flop': ['raise', 'call']}",2,call,0.6401497482244163,0.014811540403053419,0.3450387113725304
"{""cards_cluster"":9,""history"":[{""pre_flop"":[""call"",""raise""]}]}",9,pre_flop,"{'pre_flop': ['call', 'raise']}",2,raise,0.0,0.05036442100949051,0.9496355789905095
"{""cards_cluster"":9,""history"":[{""pre_flop"":[""raise"",""raise""]}]}",9,pre_flop,"{'pre_flop': ['raise', 'raise']}",2,raise,0.2114847339347206,0.007932626431270606,0.7805826396340088
"{""cards_cluster"":9,""history"":[{""pre_flop"":[""call"",""call""]}]}",9,pre_flop,"{'pre_flop': ['call', 'call']}",2,call,0.2193465363244693,0.3132366735932136,0.467416790082317
"{""cards_cluster"":9,""history"":[{""pre_flop"":[""raise"",""raise"",""raise""]}]}",9,pre_flop,"{'pre_flop': ['raise', 'raise', 'raise']}",3,raise,1.0,0.0,0.0
"{""cards_cluster"":9,""history"":[{""pre_flop"":[""raise"",""raise"",""call""]}]}",9,pre_flop,"{'pre_flop': ['raise', 'raise', 'call']}",3,call,0.1631455084306048,0.0,0.8368544915693952
